date,home_team,away_team,home_score,away_score,tournament,city,country,id,home_result,away_result
2016-10-11,Qatar,Syria,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,37189,win,loss
2016-10-11,Saudi Arabia,United Arab Emirates,3.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,37190,win,loss
2016-10-11,Slovakia,Scotland,3.0,0.0,FIFA World Cup qualification,Trnava,Slovakia,37191,win,loss
2016-10-11,Slovenia,England,0.0,0.0,FIFA World Cup qualification,Ljubljana,Slovenia,37192,draw,draw
2016-10-11,South Africa,Ghana,1.0,1.0,Friendly,Durban,South Africa,37193,draw,draw
2016-10-11,Uzbekistan,China PR,2.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,37194,win,loss
2016-10-11,Venezuela,Brazil,0.0,2.0,FIFA World Cup qualification,M̩rida,Venezuela,37195,loss,win
2016-10-15,Brunei Darussalam,Timor-Leste,2.0,1.0,AFF Championship,Phnom Penh,Cambodia,37196,win,loss
2016-10-15,Cambodia,Laos,2.0,1.0,AFF Championship,Phnom Penh,Cambodia,37197,win,loss
2016-10-18,Cambodia,Brunei Darussalam,3.0,0.0,AFF Championship,Phnom Penh,Cambodia,37198,win,loss
2016-10-18,Timor-Leste,Laos,1.0,2.0,AFF Championship,Phnom Penh,Cambodia,37199,loss,win
2016-10-21,Cambodia,Timor-Leste,3.0,2.0,AFF Championship,Phnom Penh,Cambodia,37200,win,loss
2016-10-21,Laos,Brunei Darussalam,4.0,3.0,AFF Championship,Phnom Penh,Cambodia,37201,win,loss
2016-11-02,Brunei Darussalam,Timor-Leste,4.0,0.0,AFC Challenge Cup,Kuching,Malaysia,37202,win,loss
2016-11-03,Macau,Mongolia,2.0,1.0,AFC Challenge Cup,Kuching,Malaysia,37203,win,loss
2016-11-03,Sri Lanka,Laos,1.0,2.0,AFC Challenge Cup,Kuching,Malaysia,37204,loss,win
2016-11-04,Myanmar,Indonesia,0.0,0.0,Friendly,Yangon,Myanmar,37205,draw,draw
2016-11-05,Timor-Leste,Nepal,0.0,0.0,AFC Challenge Cup,Kuching,Malaysia,37206,draw,draw
2016-11-05,Zimbabwe,Zambia,1.0,0.0,Friendly,Harare,Zimbabwe,37207,win,loss
2016-11-06,"Hong Kong, China",Guam,3.0,2.0,EAFF Championship,Kowloon,"Hong Kong, China",37208,win,loss
2016-11-06,Jordan,Iraq,0.0,0.0,Friendly,Amman,Jordan,37209,draw,draw
2016-11-06,Korea DPR,Chinese Taipei,2.0,0.0,EAFF Championship,Kowloon,"Hong Kong, China",37210,win,loss
2016-11-06,Laos,Macau,1.0,4.0,AFC Challenge Cup,Kuching,Malaysia,37211,loss,win
2016-11-06,Mongolia,Sri Lanka,2.0,0.0,AFC Challenge Cup,Kuching,Malaysia,37212,win,loss
2016-11-07,Tahiti,Solomon Islands,3.0,0.0,FIFA World Cup qualification,Pirae,France,37213,win,loss
2016-11-08,Nepal,Brunei Darussalam,3.0,0.0,AFC Challenge Cup,Kuching,Malaysia,37214,win,loss
2016-11-08,Uganda,Zambia,0.0,1.0,Friendly,Kampala,Uganda,37215,loss,win
2016-11-08,Vietnam,Indonesia,3.0,2.0,Friendly,Hanoi,Vietnam,37216,win,loss
2016-11-09,Greece,Belarus,0.0,1.0,Friendly,Piraeus,Greece,37217,loss,win
2016-11-09,Guam,Korea DPR,0.0,2.0,EAFF Championship,Kowloon,"Hong Kong, China",37218,loss,win
2016-11-09,"Hong Kong, China",Chinese Taipei,4.0,2.0,EAFF Championship,Kowloon,"Hong Kong, China",37219,win,loss
2016-11-09,Mongolia,Laos,0.0,3.0,AFC Challenge Cup,Kuching,Malaysia,37220,loss,win
2016-11-09,Netherlands,Belgium,1.0,1.0,Friendly,Amsterdam,Netherlands,37221,draw,draw
2016-11-09,Philippines,Kyrgyz Republic,1.0,0.0,Friendly,Manila,Philippines,37222,win,loss
